Artikel,Noun,Plural (die),Englisch
der,Name,Namen,Name
der,Vorname,Vornamen,First name
der,Lieblingsfilm,Lieblingsfilme,Favorite film
der,Kollege,Kollegen,Collegue (m)
der,Mensch,Menschen,People
der,Partner,-,Partner (m)
der,Beruf,Berufe,Profession
der,Architekt,Architekten,Architecht (m)
der,Arzt,Ärzte,Doctor (m)
der,Boxer,-,Boxer
der,Ingeniuer,Ingeniuere,Engineer (m)
der,Journalist,Journalisten,Journalist (m)
der,Koch,Köche,Cook (m)
der,Professor,Professoren,Professor (m)
der,Student,Studenten,Student (m)
der,Taxifahrer,-,Taxi driver (m)
der,Techniker,-,Technician (m)
der,Kalendar,-,Calendar
der,Tag,Tage,Day
der,Termin,Termine,appointment
der,Geburtsort,Geburtsorte,Birth place
der,Geburtstag,Geburtstage,Birth day
der,Wohnort,Wohnorte,Living place
der,Bus,Busse,Bus
der,Passagier,Passagiere,Passenger
der,Zug,Züge,Train
der,Bahnhof,Bahnhöfe,Train Station
der,Flughafen,Flughäfen,Airport
der,Hafen,Häfen,"Port, Harbour"
der,Fluss,Flüsse,River
der,Ort,Orte,Place
der,Park,Parks,Park
der,Markt,Märkte,Market
der,See,Seen,"Sea, Lake"
der,Terminal,Terminals,Terminal
der,Turm,Türme,Tower
der,Weg,Wege,Way
der,Plan,Pläne,Plan
der,Meter,-,Metre
der,Film,Filme,Film
der,Besucher,-,Visitor
der,Test,Tests,Test
der,Apfel,Äpfel,Apple
der,Zucker,-,Sugar
der,Reis,-,Rice
der,Salat,Salate,Salad
der,Keks,Kekse,Biscuit
der,Kuchen,-,Cake
der,Fisch,Fische,Fish
der,Schinken,-,chicken
der,Joghurt,Joghurts,Yoghurt
der,Käse,-,Cheese
der,Supermarkt,Supermärkte,Super market
der,Bescher,-,
der,Liter,-,Litre
der,Einkaufswagen,-,Shopping cart
der,Einkaufszettel,-,Shopping/Grocery List
der,Kassenzettel,-,Receipt
der,Kaffee,Kaffees,Coffee
der,Saft,Säfte,Juice
der,Tee,Tees,Tea
der,Wein,Weine,Wine
der,Computer,-,Computer
der,Sport,-,Sports
der,Ehemann,Ehemänner,Husband
der,Ehepartner,-,Spouse
der,Großvater,Großväter,Grand father
der,Opa,Opas,Grandpa
der,Sohn,Söhne,Son
der,Vater,Väter,Father
der,Verwandte,Verwandten,Relative (m)
der,Hund,Hunde,Dog
der,Junge,Jungen,Youth
der,Urlaub,Urlaubs,Vacation
der,Chat,Chats,Chat
der,Preis,Preise,Price
der,Treffpunkt,Treffpunkte,Meeting point
der,Ausflug,-,"Trip, outing"
der,Löffel,-,Spoon
der,Kellner,-,Waiter (m)
der,Teller,Teller,Plate
der,Biergarten,Biergärten,Beer garden
der,Regen,-,Rain
der,Empfang,-,Reception
der,Erfolg,Erfolge,Success
der,Leiter,-,Manager (m)
der,Mitarbeiter,-,"Co-worker, Employee (m)"
der,Raum,Räume,"space, Room"
der,Wunsch,Wünsche,"Desire, wish"
der,Kontakt,Kontakte,Contact
der,Nachteil,Nachteile,Disadvantage
der,Vorteil,Vorteile,Advantage
der,Nachbar,Nachbarn,Neighbour (m)
der,Flur,Flure,Corridor
der,Kühlschrank,Kühlschranke,Refridgerator
der,Herd,Herde,Stove
der,Drucker,-,Printer
der,Fernseher,-,Television
der,Vertrag,Verträge,Contract
der,Tisch,Tische,Table
der,Balkon,Balkons,Balcony
der,Schrank,Schränke,Cupboard
der,Sessel,-,Armchair
der,Stuhl,Stühle,Chair
der,Teppich,Teppiche,Carpet
